topology,policy,run_count,deadline_miss_ratio_n,deadline_miss_ratio_mean,deadline_miss_ratio_ci95_low,deadline_miss_ratio_ci95_high,incomplete_ratio_n,incomplete_ratio_mean,incomplete_ratio_ci95_low,incomplete_ratio_ci95_high,latency_p99_us_n,latency_p99_us_mean,latency_p99_us_ci95_low,latency_p99_us_ci95_high,redundant_byte_ratio_n,redundant_byte_ratio_mean,redundant_byte_ratio_ci95_low,redundant_byte_ratio_ci95_high,duplicate_recovery_rate_n,duplicate_recovery_rate_mean,duplicate_recovery_rate_ci95_low,duplicate_recovery_rate_ci95_high,duplicate_no_benefit_ratio_n,duplicate_no_benefit_ratio_mean,duplicate_no_benefit_ratio_ci95_low,duplicate_no_benefit_ratio_ci95_high,background_throughput_mbps_n,background_throughput_mbps_mean,background_throughput_mbps_ci95_low,background_throughput_mbps_ci95_high,max_deadline_miss_burst_n,max_deadline_miss_burst_mean,max_deadline_miss_burst_ci95_low,max_deadline_miss_burst_ci95_high,p95_deadline_miss_burst_n,p95_deadline_miss_burst_mean,p95_deadline_miss_burst_ci95_low,p95_deadline_miss_burst_ci95_high,joint_copy_deadline_exceedance_rate_n,joint_copy_deadline_exceedance_rate_mean,joint_copy_deadline_exceedance_rate_ci95_low,joint_copy_deadline_exceedance_rate_ci95_high,cross_copy_delay_correlation_n,cross_copy_delay_correlation_mean,cross_copy_delay_correlation_ci95_low,cross_copy_delay_correlation_ci95_high
dual_interface,fixed_link_0,10,10,0.2563333333334,0.17375500100087055,0.3389116656659295,10,0.2563333333334,0.17375500100087055,0.3389116656659295,10,31635.020667,31093.028497280633,32177.01283671937,10,0.0,0.0,0.0,0,,,,0,,,,10,42.439392,41.19973161146471,43.67905238853528,10,18.6,13.26628266215766,23.933717337842342,10,9.149999999999995,6.913338080531609,11.38666191946838,0,,,,0,,,
dual_interface,fixed_link_0,10,10,0.29183333333329997,0.20985579317003897,0.37381087349656095,10,0.29183333333329997,0.20985579317003897,0.37381087349656095,10,31996.700905,31629.35314496261,32364.048665037393,10,0.0,0.0,0.0,0,,,,0,,,,10,42.859968,42.47106152675559,43.24887447324441,10,26.0,20.327433949260705,31.672566050739295,10,9.77,7.296742077016633,12.243257922983366,0,,,,0,,,
dual_interface,fixed_link_1,10,10,0.27311111111113,0.18674048841241558,0.35948173380984444,10,0.27311111111113,0.18674048841241558,0.35948173380984444,10,31532.813006,30920.63497068723,32144.99104131277,10,0.0,0.0,0.0,0,,,,0,,,,10,42.93008,42.57626921365226,43.28389078634773,10,21.4,15.685495731036678,27.11450426896332,10,10.279999999999996,7.536061498939889,13.023938501060103,0,,,,0,,,
dual_interface,fixed_link_1,10,10,0.29755555555549,0.20794266035275383,0.3871684507582262,10,0.29755555555549,0.20794266035275383,0.3871684507582262,10,31923.438385,31600.50961620188,32246.36715379812,10,0.0,0.0,0.0,0,,,,0,,,,10,42.920448,42.56847102261011,43.27242497738989,10,22.3,16.1926,28.407400000000003,10,9.814999999999994,7.432368947801607,12.197631052198382,0,,,,0,,,
dual_interface,full_duplication,10,10,0.07205555555568,0.03814725680277819,0.1059638543085818,10,0.07205555555568,0.03814725680277819,0.1059638543085818,10,29334.750885999998,27810.165086762237,30859.33668523776,10,0.5,0.5,0.5,10,0.4520555555555,0.3620558277143916,0.5420552833966084,10,0.4758888888888,0.38714646956401416,0.5646313082135858,10,42.919984,42.57207395848377,43.26789404151623,10,7.7,5.914117932225087,9.485882067774913,10,4.5399999999999965,3.519339077656049,5.560660922343944,10,0.07205555555555555,0.03814725680276287,0.10596385430834823,10,0.0013138725642681036,-0.034098804849552564,0.036726549978088774
dual_interface,full_duplication,10,10,0.08677777777773,0.04509305019525934,0.12846250536020068,10,0.08677777777773,0.04509305019525934,0.12846250536020068,10,29973.851338,28705.749428644434,31241.953247355566,10,0.5,0.5,0.5,10,0.4544444444446,0.3704990693059831,0.538389819583217,10,0.4587777777778,0.379424299849476,0.538131255706124,10,42.802944,42.41859971956122,43.18728828043877,10,8.9,5.048690814800764,12.751309185199236,10,4.1049999999999995,3.086618391711633,5.123381608288366,10,0.08677777777777777,0.04509305019524907,0.12846250536030648,10,0.016960007709100427,0.001721600849059023,0.03219841456914183
mlo_str,fixed_link_0,10,10,0.15177777777772,0.0954214810506754,0.20813407450476462,10,0.15177777777772,0.0954214810506754,0.20813407450476462,10,30411.991632,29606.828067624447,31217.155196375556,10,0.0,0.0,0.0,0,,,,0,,,,10,42.980928,42.6659526893352,43.2959033106648,10,13.7,10.19491358737049,17.20508641262951,10,5.32,4.440175366564451,6.19982463343555,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.18083333333324,0.11812908055010941,0.2435375861163706,10,0.18083333333324,0.11812908055010941,0.2435375861163706,10,30924.115661,30350.963718714218,31497.26760328578,10,0.0,0.0,0.0,0,,,,0,,,,10,43.061776,42.80599967385255,43.31755232614746,10,16.0,10.689784034523644,21.310215965476356,10,6.17,5.165141170312964,7.174858829687036,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.9802777777777,0.9592870971458268,1.0012684584095732,10,0.9802777777777,0.9592870971458268,1.0012684584095732,10,8021.203678,6159.376102210711,9883.031253789288,10,0.0,0.0,0.0,0,,,,0,,,,10,42.899056,42.58359366862313,43.21451833137687,10,1158.6,728.9019954006767,1588.2980045993231,10,1127.455,678.6310990206113,1576.2789009793887,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.9888333333334001,0.9753982272555576,1.0022684394112424,10,0.9888333333334001,0.9753982272555576,1.0022684394112424,10,9332.542611,6153.577679942021,12511.507542057981,10,0.0,0.0,0.0,0,,,,0,,,,10,42.884768,42.570861473729146,43.19867452627086,10,1359.9,981.1045602766053,1738.6954397233949,10,1315.56,900.4708328371837,1730.6491671628162,0,,,,0,,,
