topology,policy,run_count,deadline_miss_ratio_n,deadline_miss_ratio_mean,deadline_miss_ratio_ci95_low,deadline_miss_ratio_ci95_high,incomplete_ratio_n,incomplete_ratio_mean,incomplete_ratio_ci95_low,incomplete_ratio_ci95_high,latency_p99_us_n,latency_p99_us_mean,latency_p99_us_ci95_low,latency_p99_us_ci95_high,redundant_byte_ratio_n,redundant_byte_ratio_mean,redundant_byte_ratio_ci95_low,redundant_byte_ratio_ci95_high,duplicate_recovery_rate_n,duplicate_recovery_rate_mean,duplicate_recovery_rate_ci95_low,duplicate_recovery_rate_ci95_high,duplicate_no_benefit_ratio_n,duplicate_no_benefit_ratio_mean,duplicate_no_benefit_ratio_ci95_low,duplicate_no_benefit_ratio_ci95_high,background_throughput_mbps_n,background_throughput_mbps_mean,background_throughput_mbps_ci95_low,background_throughput_mbps_ci95_high,max_deadline_miss_burst_n,max_deadline_miss_burst_mean,max_deadline_miss_burst_ci95_low,max_deadline_miss_burst_ci95_high,p95_deadline_miss_burst_n,p95_deadline_miss_burst_mean,p95_deadline_miss_burst_ci95_low,p95_deadline_miss_burst_ci95_high,joint_copy_deadline_exceedance_rate_n,joint_copy_deadline_exceedance_rate_mean,joint_copy_deadline_exceedance_rate_ci95_low,joint_copy_deadline_exceedance_rate_ci95_high,cross_copy_delay_correlation_n,cross_copy_delay_correlation_mean,cross_copy_delay_correlation_ci95_low,cross_copy_delay_correlation_ci95_high
dual_interface,fixed_link_0,10,10,0.032888888888902,0.013013240116512094,0.0527645376612919,10,0.032888888888902,0.013013240116512094,0.0527645376612919,10,25937.835006,23059.215812584596,28816.454199415406,10,0.0,0.0,0.0,0,,,,0,,,,10,27.080816,26.749370130989625,27.412261869010372,10,4.8,3.225601778456289,6.374398221543711,10,3.889999999999999,2.883925506535425,4.896074493464573,0,,,,0,,,
dual_interface,fixed_link_0,10,10,0.15283333333342,0.071021330600777,0.234645336066063,10,0.15283333333342,0.071021330600777,0.234645336066063,10,31110.568737,30424.43825645238,31796.699217547623,10,0.0,0.0,0.0,0,,,,0,,,,10,27.066464,26.734228916785362,27.398699083214638,10,11.1,6.7496094841957,15.4503905158043,10,5.629999999999998,4.092764297318071,7.167235702681925,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.008777777777785,0.003499777777778478,0.014055777777791522,10,0.008777777777785,0.003499777777778478,0.014055777777791522,10,20980.049683,17744.21907052595,24215.880295474053,10,0.0,0.0,0.0,0,,,,0,,,,10,27.079664,26.748512682902657,27.410815317097345,10,2.1,1.1198000000000001,3.0802,10,1.5699999999999998,1.1036158004391656,2.036384199560834,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.038277777777754,0.017002964111059324,0.059552591444448674,10,0.038277777777754,0.017002964111059324,0.059552591444448674,10,25387.767034,22834.94338218376,27940.59068581624,10,0.0,0.0,0.0,0,,,,0,,,,10,27.067632,26.73760788307975,27.39765611692025,10,5.1,3.3657999999999997,6.834199999999999,10,2.554999999999999,2.0691378219083103,3.0408621780916874,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.8597777777779,0.7105453320556231,1.0090102235001768,10,0.8597777777779,0.7105453320556231,1.0090102235001768,10,8070.090694,7231.15213464803,8909.029253351971,10,0.0,0.0,0.0,0,,,,0,,,,10,27.080432000000002,26.748995402417798,27.411868597582206,10,445.6,229.05093746534024,662.1490625346598,10,384.7099999999999,179.54911972219844,589.8708802778015,0,,,,0,,,
mlo_str,fixed_link_0,10,10,0.8985555555554,0.7845449267214182,1.0125661843893818,10,0.8985555555554,0.7845449267214182,1.0125661843893818,10,8864.823705,7342.310179861347,10387.337230138653,10,0.0,0.0,0.0,0,,,,0,,,,10,27.069408,26.738051706146905,27.400764293853094,10,674.3,299.05092562890974,1049.5490743710902,10,635.05,255.8145561951494,1014.2854438048505,0,,,,0,,,
dual_interface,fixed_link_1,10,10,0.011499999999997,0.0001651267336964541,0.022834873266297545,10,0.011499999999997,0.0001651267336964541,0.022834873266297545,10,19200.60809,14219.19245032426,24182.02372967574,10,0.0,0.0,0.0,0,,,,0,,,,10,27.077968,26.746302753000442,27.409633246999555,10,2.8,1.262135714700416,4.337864285299584,10,2.1599999999999997,1.1820064834570732,3.1379935165429265,0,,,,0,,,
dual_interface,fixed_link_1,10,10,0.024222222222216,0.005503746752749488,0.04294069769168252,10,0.024222222222216,0.005503746752749488,0.04294069769168252,10,22833.735602,17727.727482331982,27939.74372166802,10,0.0,0.0,0.0,0,,,,0,,,,10,27.069984,26.738884641048482,27.40108335895152,10,3.9,1.5528911316259744,6.247108868374026,10,2.44,1.6687055410545204,3.2112944589454795,0,,,,0,,,
dual_interface,full_duplication,10,10,0.0006666666666678,0.0001434746121342414,0.0011898587212013584,10,0.0006666666666678,0.0001434746121342414,0.0011898587212013584,10,10711.917034,8626.337985975842,12797.496082024158,10,0.5,0.5,0.5,10,0.6732777777776999,0.5661827975873329,0.7803727579680669,10,0.3260555555555,0.2190353139683628,0.43307579714263716,10,27.077808,26.746536574261732,27.40907942573827,10,0.8,0.23575806607448968,1.3642419339255105,10,0.79,0.23777542394420736,1.3422245760557927,10,0.0006666666666666668,0.00014347461213417873,0.0011898587211991549,10,0.06316307433227847,0.037177562489988894,0.08914858617456804
dual_interface,full_duplication,10,10,0.0034999999999992004,5.5673534280042524e-05,0.006944326465718359,10,0.0034999999999992004,5.5673534280042524e-05,0.006944326465718359,10,15881.055036,11840.13513301935,19921.97493898065,10,0.5,0.5,0.5,10,0.7128888888888,0.614438271809759,0.811339505967841,10,0.28361111111119996,0.18567380494373847,0.38154841727866146,10,27.0736,26.742608115730594,27.404591884269404,10,1.6,0.9968000000000001,2.2032,10,1.44,0.9619973008444408,1.9180026991555592,10,0.0035,5.567353427856237e-05,0.006944326465721438,10,0.011787644534547191,-0.01108114047049567,0.034656429539590056
