ablation,evidence_partition,feature_set,link,model,recall,stage
without_queue,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.5949696444058976,T0
without_retry,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.593235039028621,T0
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.5589765828274068,T0
without_frame_progress,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.598438855160451,T0
without_queue,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.4646541841803592,T0
without_retry,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.4688574703859381,T0
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.46274359954145966,T0
without_frame_progress,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.46771111960259837,T0
without_queue,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.6001734605377277,T1
without_retry,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.6045099739809193,T1
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.5784908933217693,T1
without_frame_progress,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.601040763226366,T1
without_queue,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.469239587313718,T1
without_retry,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.4749713412304165,T1
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.4658005349636989,T1
without_frame_progress,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.4753534581581964,T1
without_queue,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.46227233304423243,T2
without_retry,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.4666088464874241,T2
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.4562012142237641,T2
without_frame_progress,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.4735472679965308,T2
without_queue,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3519296904852885,T2
without_retry,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3534581581964081,T2
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.34849063813526937,T2
without_frame_progress,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3523118074130684,T2
without_queue,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.3712055507372073,T4
without_retry,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.3686036426712923,T4
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.375542064180399,T4
without_frame_progress,validation_selection,F0+F1-ideal+F2,0,histogram_gradient_boosting,0.36947094535993064,T4
without_queue,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3158699808795411,T4
without_retry,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3162523900573614,T4
without_phy_occupancy,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.31523263224984066,T4
without_frame_progress,validation_selection,F0+F1-ideal+F2,1,histogram_gradient_boosting,0.3162523900573614,T4
