analysis,average_precision,brier_score,calibration_error,degradation_profile,effective_calibration_bin_count,eligible_frames,eligible_misses,feature_set,link,model,partition,pipeline_type,prevalence,requested_calibration_bin_count,roc_auc,sample_offset_us,scenario_id,stage,subgroup_dimension,subgroup_value
per_link,0.05352873486273851,0.04976795607428126,0.06372716096843546,,10,36000,1736,,0,retry_pressure,in_distribution_test,heuristic,0.04822222222222222,10,0.5167904306463987,0,,T0,,
per_link,0.056473651402402236,0.021840353490156242,0.09918196124097006,,10,43200,545,,0,retry_pressure,ood:obss_only,heuristic,0.012615740740740742,10,0.5966682977032496,0,obss_only,T0,,
per_link,0.22386217069339048,0.12282493349809182,0.029820019254014347,,10,43200,6419,,0,retry_pressure,ood:obss_plus_legacy_mixed8,heuristic,0.14858796296296295,10,0.5942060783692604,0,obss_plus_legacy_mixed8,T0,,
per_link,0.04822222222222222,0.25,0.4517777777777778,,1,36000,1736,,0,delivery_drought,in_distribution_test,heuristic,0.04822222222222222,10,0.5,0,,T0,,
per_link,0.012615740740740742,0.25,0.48738425925925927,,1,43200,545,,0,delivery_drought,ood:obss_only,heuristic,0.012615740740740742,10,0.5,0,obss_only,T0,,
per_link,0.14858796296296295,0.25,0.35141203703703705,,1,43200,6419,,0,delivery_drought,ood:obss_plus_legacy_mixed8,heuristic,0.14858796296296295,10,0.5,0,obss_plus_legacy_mixed8,T0,,
per_link,0.19798595045171383,0.04462507928994134,0.04962153906517647,,10,36000,1736,,0,byte_service_queue_slack,in_distribution_test,heuristic,0.04822222222222222,10,0.6923718439016753,0,,T0,,
per_link,0.05625460476927194,0.032112461715832985,0.0935122149098892,,10,43200,545,,0,byte_service_queue_slack,ood:obss_only,heuristic,0.012615740740740742,10,0.7180116767880552,0,obss_only,T0,,
per_link,0.3514371812608792,0.12336278625886751,0.10404315364644766,,10,43200,6419,,0,byte_service_queue_slack,ood:obss_plus_legacy_mixed8,heuristic,0.14858796296296295,10,0.7507118581763677,0,obss_plus_legacy_mixed8,T0,,
per_link,0.21630188104790973,0.04610820450863765,0.07342297066749254,,10,36000,1736,,0,packet_count_additive_baseline,in_distribution_test,heuristic,0.04822222222222222,10,0.7087087447049797,0,,T0,,
per_link,0.10517550486214745,0.01953369298651168,0.08641048581106668,,10,43200,545,,0,packet_count_additive_baseline,ood:obss_only,heuristic,0.012615740740740742,10,0.6736589384210204,0,obss_only,T0,,
per_link,0.4678057052334875,0.11847585709299871,0.11525312378718279,,10,43200,6419,,0,packet_count_additive_baseline,ood:obss_plus_legacy_mixed8,heuristic,0.14858796296296295,10,0.7785546191838353,0,obss_plus_legacy_mixed8,T0,,
per_link,0.04937378392217101,0.05017804774610709,0.06467464252696772,,2,36000,1736,F0,0,logistic_regression,in_distribution_test,model,0.04822222222222222,10,0.5069802272622123,0,,T0,,
per_link,0.01508515970098539,0.022615735262199527,0.10028112400844923,,2,43200,545,F0,0,logistic_regression,ood:obss_only,model,0.012615740740740742,10,0.5250097055638422,0,obss_only,T0,,
per_link,0.15224058134704263,0.12753601614391308,0.035691098213773,,2,43200,6419,F0,0,logistic_regression,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.5079609571376648,0,obss_plus_legacy_mixed8,T0,,
per_link,0.4391261836506545,0.03443091890389567,0.005850206093808097,,10,36000,1736,F0+F1-ideal,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9214944330333943,0,,T0,,
per_link,0.2524082570790685,0.01107744765630614,0.005420982242571981,,10,43200,545,F0+F1-ideal,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8277639563857233,0,obss_only,T0,,
per_link,0.6250321447793026,0.10858391216141282,0.10208666730700044,,10,43200,6419,F0+F1-ideal,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8876021184644179,0,obss_plus_legacy_mixed8,T0,,
per_link,0.4444430418337343,0.034272875762282495,0.005496361229315594,,10,36000,1736,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9217837879985282,0,,T0,,
