seed,run,policy_run_id,str_run_id,policy_deadline_miss_rate,str_deadline_miss_rate,miss_delta_percentage_points,policy_completed_p99_us,str_completed_p99_us,completed_p99_delta_us,policy_sender_airtime_us,str_sender_airtime_us,sender_airtime_ratio,policy_background_throughput_mbps,str_background_throughput_mbps,background_throughput_loss
1251,1,ee0800fb2c1abea131bb,09bb722251095792e5fe,0.011666666666666667,0.012777777777777779,-0.11111111111111113,22466.32,23461.440000000002,-995.1200000000026,5777604.0,4685060.0,1.2331974403742962,26.85584,26.85488,-3.5747692784360297e-05
1252,1,36e31cf35f5e88ddff37,40453f9e63cfbc7278aa,0.0,0.0038888888888888888,-0.3888888888888889,10860.129999999997,18030.919999999976,-7170.789999999979,3558709.0,3932512.0,0.9049454903125534,26.97952,26.98848,0.00033199350241286396
1253,1,9f4cf1f1cf15a56ab4e2,c500155fde0efccd17bb,0.01,0.008888888888888889,0.11111111111111113,22081.41000000004,21507.220000000005,574.1900000000351,5828764.0,4527754.0,1.2873411408835373,26.10688,26.10992,0.00011643084314305607
1254,1,d7fdf843a39e3980e64d,453cc098347ee66c3892,0.0005555555555555556,0.0,0.05555555555555555,12217.399999999992,11779.679999999998,437.7199999999939,3763646.0,3592350.0,1.047683549765474,27.50688,27.50736,1.7449875233332968e-05
1255,1,12041b4b606420562ba2,9e26e282c790339b7063,0.007222222222222222,0.009444444444444445,-0.22222222222222227,20513.19999999999,20053.280000000017,459.9199999999728,5362123.0,4752600.0,1.1282504313428439,26.57856,26.58032,6.621440223442132e-05
1256,1,fbf9cb3032db75b58e4b,ab93bbc15d89c2f6375b,0.0016666666666666668,0.0038888888888888888,-0.22222222222222218,13459.799999999996,10860.319999999956,2599.4800000000396,3938687.0,3461491.0,1.1378585124156035,27.30992,27.31248,9.373004575197186e-05
1257,1,e4297ac8d12ede03cb8b,99da727160d399b14ea5,0.006666666666666667,0.01,-0.3333333333333333,19266.260000000002,20831.74000000002,-1565.4800000000178,5250062.0,4183718.0,1.2548795114775901,26.73504,26.73936,0.00016155958856156616
1258,1,4d7281282b2acebcc17e,5d2c156a0d740effc683,0.008333333333333333,0.006111111111111111,0.22222222222222218,21176.64000000006,22039.96,-863.3199999999379,5327832.0,4472875.0,1.191142609619093,27.11296,27.11536,8.851071864790505e-05
1259,1,832635fd285af85b4d80,b731d9864d470fb41225,0.0,0.0044444444444444444,-0.4444444444444444,8265.099999999999,17668.38999999997,-9403.289999999972,3156474.0,3616063.0,0.8729034864713364,26.86048,26.86592,0.00020248701700886773
1260,1,d716f072c2e8c447fc10,b24759b879796d51390d,0.0077777777777777776,0.005,0.27777777777777773,21360.000000000007,23287.699999999997,-1927.6999999999898,5733586.0,4458493.0,1.2859919259713988,26.31696,26.31968,0.00010334472151640739
1261,1,267750544b79aeb596f3,4ecab2f0c64f6bce54de,0.0005555555555555556,0.0,0.05555555555555555,10326.86,9721.979999999998,604.8800000000028,3399438.0,3374404.0,1.0074187915851214,26.84848,26.8496,4.17138430367503e-05
1262,1,e02d2bba006394892c8b,71d4362f069b605e97a8,0.018333333333333333,0.018333333333333333,0.0,24529.859999999942,24664.359999999957,-134.50000000001455,5728173.0,4833355.0,1.1851339287099747,26.75952,26.7544,-0.00019137039141225998
1263,1,90ad5c5dc4f6cc5fcc03,4d2c01770621dcc8ae0c,0.0005555555555555556,0.0005555555555555556,0.0,12272.419999999998,8898.3,3374.119999999999,3827074.0,3453494.0,1.1081745038503035,27.536,27.53344,-9.297784802786424e-05
1264,1,346d2ce9cf35c1ecc1fc,55b0df97ac527912a0a5,0.006666666666666667,0.01,-0.3333333333333333,25402.91999999999,25670.50000000007,-267.58000000007814,5932199.0,4807421.0,1.2339670272272805,27.02512,27.0256,1.7760937777500097e-05
1265,1,c7f805372de23728af93,aac455e321ff6d84b818,0.0,0.008888888888888889,-0.8888888888888888,9288.3,18995.75000000011,-9707.45000000011,3254796.0,3766598.0,0.8641208857435808,26.0472,26.04672,-1.8428424001237786e-05
1266,1,4990d18e91d1cc5f8261,cd2e4d98c7e70d59bbfa,0.021666666666666667,0.029444444444444443,-0.7777777777777776,25720.40000000003,26424.059999999983,-703.6599999999526,5654896.0,5226298.0,1.082007952856879,27.45344,27.45824,0.00017481091286253303
1267,1,970f9ddff825038d3553,f26fe8242b99d8686591,0.0022222222222222222,0.0044444444444444444,-0.2222222222222222,13028.649999999992,15959.229999999938,-2930.5799999999454,4352586.0,4059692.0,1.0721468525198463,26.50144,26.50048,-3.6225758929697705e-05
1268,1,f7432786c5f3bc62e0c9,68fd304256de21e212a0,0.0,0.0044444444444444444,-0.4444444444444444,8988.400000000001,17573.63,-8585.23,3298815.0,3715865.0,0.887765029138572,26.05328,26.05728,0.00015350796399304922
1269,1,98536f28911531dfad6c,e9539a38372d64ac58f4,0.010555555555555556,0.019444444444444445,-0.8888888888888888,25911.20000000001,25552.199999999975,359.0000000000364,5871925.0,5280164.0,1.1120724659309824,26.59088,26.59216,4.813448775886631e-05
1270,1,155981d6d42360a2ab42,6f8d2f3fa487bfa12a77,0.0005555555555555556,0.0005555555555555556,0.0,9054.259999999998,13346.799999999994,-4292.539999999995,3346883.0,3524673.0,0.9495584413078887,27.64,27.64624,0.00022570881248218377
1271,1,36d2caabc955fcbbc74f,c690252ab6892465771a,0.012222222222222223,0.014444444444444444,-0.2222222222222221,24332.5,26472.39,-2139.8899999999994,6287756.0,5171660.0,1.2158100107122278,25.91984,25.92016,1.2345602804830769e-05
1272,1,61f8de03e4dac83f6c7f,d90114e9f666fb3f317b,0.0016666666666666668,0.0038888888888888888,-0.22222222222222218,18733.279999999977,20415.119999999966,-1681.8399999999892,4769908.0,4393825.0,1.0855935318316046,27.02112,27.0224,4.7368109420409255e-05
1273,1,c16bb8c40544d6b1cda3,59aa089b7816442f201a,0.011111111111111112,0.017777777777777778,-0.6666666666666666,23811.23,23406.499999999996,404.7300000000032,5891674.0,4773760.0,1.2341789281405013,27.28208,27.28176,-1.1729448539998799e-05
1274,1,39eceea992451513a48a,f1aee37a67a60d783597,0.0011111111111111111,0.0,0.1111111111111111,9506.619999999997,11587.669999999998,-2081.050000000001,3398906.0,3454541.0,0.9838951108121166,26.5624,26.56256,6.023515805697599e-06
1275,1,ad6d18896af66710f53f,8c8924791afda71bf7d3,0.008333333333333333,0.018333333333333333,-1.0,22690.760000000002,23638.279999999984,-947.5199999999822,5875566.0,4764763.0,1.2331286991609027,26.67248,26.67376,4.7987235395452466e-05
1276,1,854ad866dd7f91800c03,a9f9a1ade1b59a233504,0.0022222222222222222,0.008333333333333333,-0.611111111111111,11824.799999999992,19763.960000000036,-7939.1600000000435,3815967.0,3974959.0,0.9600016000165034,27.06928,27.07024,3.546329844139606e-05
1277,1,632228c390a85ce3b548,98275bf194ccb3b66cc5,0.002777777777777778,0.0033333333333333335,-0.055555555555555566,16061.799999999936,15545.07999999999,516.7199999999448,4872197.0,4104676.0,1.1869869875234975,26.43344,26.43904,0.00021180799302844555
1278,1,98229cde4d9a0dd15eb2,701f6de3ba4f60e728cf,0.006666666666666667,0.008333333333333333,-0.1666666666666666,21880.53999999998,21605.160000000036,275.3799999999428,5914191.0,4638998.0,1.274885438622737,26.32496,26.3264,5.469794578816245e-05
1279,1,9ef67f8aaa67e4d67180,683755c9c21c1531f0d1,0.0,0.002777777777777778,-0.2777777777777778,8989.359999999997,12729.91999999999,-3740.559999999992,3188803.0,3497539.0,0.9117276462106642,26.98592,26.98368,-8.301313979419689e-05
1280,1,93ec640bd0d308a94807,54fa07613d8d6f5ad081,0.006111111111111111,0.008333333333333333,-0.22222222222222218,20185.159999999996,21656.36000000003,-1471.2000000000335,5868665.0,4548111.0,1.290352192371734,27.47472,27.47392,-2.9118524040416816e-05
1281,1,fa41763d132206805032,fe9a8af5a5b22688d7ac,0.0011111111111111111,0.0005555555555555556,0.05555555555555555,13940.939999999991,12839.159999999996,1101.7799999999952,4095264.0,3544383.0,1.155423666121861,25.67824,25.67744,-3.1155753844602785e-05
1282,1,7a5cd85ade024a65f9d9,7513fa09709d860ad001,0.011111111111111112,0.015555555555555555,-0.44444444444444436,24581.100000000002,25224.319999999963,-643.2199999999611,5958303.0,4762064.0,1.2512017898121486,26.1328,26.13648,0.00014079937313671298
1283,1,f35a48eafa98260a0578,46f15654c191ba34aed7,0.0,0.0005555555555555556,-0.05555555555555555,9521.14,14668.16,-5147.02,3296972.0,3603814.0,0.9148563161139837,26.9104,26.91072,1.1891171993960725e-05
1284,1,8af50cb77cb08e79a4b4,831a24fb07eda647c109,0.01,0.010555555555555556,-0.055555555555555566,23402.880000000034,23650.000000000033,-247.11999999999898,5859721.0,4558764.0,1.285374939347595,27.29296,27.29664,0.00013481512742952173
1285,1,3855ff9620d00454b4f6,a4f793d9bad5ea1a5ac0,0.0,0.0011111111111111111,-0.1111111111111111,9060.14,8626.09,434.0499999999993,3284929.0,3288050.0,0.9990508051884855,26.69104,26.6952,0.00015583325841350693
1286,1,5d0692024211a1debed9,efd72b4b425fff03d330,0.012777777777777779,0.013888888888888888,-0.11111111111111097,24786.640000000007,23218.71999999999,1567.9200000000164,5906504.0,4828260.0,1.2233193738531065,27.0144,27.01408,-1.1845674551924645e-05
1287,1,1877702c70ef1213a2c1,0966c0bb0cbe36e14790,0.002777777777777778,0.0016666666666666668,0.1111111111111111,15303.039999999988,14275.919999999973,1027.1200000000154,4842988.0,3939230.0,1.229425039918969,26.09088,26.0912,1.2264671613526623e-05
