seed,run,policy_run_id,str_run_id,policy_deadline_miss_count,str_deadline_miss_count,policy_deadline_miss_rate,str_deadline_miss_rate,miss_delta_percentage_points,policy_completed_p99_us,str_completed_p99_us,completed_p99_delta_us,policy_sender_airtime_us,str_sender_airtime_us,sender_airtime_ratio,policy_background_throughput_mbps,str_background_throughput_mbps,background_throughput_loss
1251,1,shadow-prelim-1251,str-e2c770b-1251,15,23,0.008333333333333333,0.012777777777777779,-0.44444444444444453,22433.32000000001,23461.440000000002,-1028.1199999999917,5840663.0,4685060.0,1.2466570332076856,26.85584,26.85488,-3.5747692784360297e-05
1252,1,shadow-prelim-1252,str-e2c770b-1252,0,7,0.0,0.0038888888888888888,-0.3888888888888889,9432.419999999998,18030.919999999976,-8598.499999999978,4036707.0,3932512.0,1.0264957869168614,26.9816,26.98848,0.0002549235822097984
1253,1,shadow-prelim-1253,str-e2c770b-1253,24,16,0.013333333333333334,0.008888888888888889,0.44444444444444453,24823.75,21507.220000000005,3316.529999999995,5785764.0,4527754.0,1.2778441584944764,26.10688,26.10992,0.00011643084314305607
1254,1,shadow-prelim-1254,str-e2c770b-1254,0,0,0.0,0.0,0.0,10993.64,11779.679999999998,-786.039999999999,4037499.0,3592350.0,1.1239158211198796,27.50656,27.50736,2.9083125388962294e-05
1255,1,shadow-prelim-1255,str-e2c770b-1255,12,17,0.006666666666666667,0.009444444444444445,-0.27777777777777773,17744.809999999878,20053.280000000017,-2308.4700000001394,5519471.0,4752600.0,1.1613582039304802,26.57984,26.58032,1.805847333669064e-05
1256,1,shadow-prelim-1256,str-e2c770b-1256,2,7,0.0011111111111111111,0.0038888888888888888,-0.27777777777777773,10452.399999999998,10860.319999999956,-407.91999999995824,4095161.0,3461491.0,1.183062732215684,27.30912,27.31248,0.00012302068504954633
1257,1,shadow-prelim-1257,str-e2c770b-1257,11,18,0.006111111111111111,0.01,-0.3888888888888889,18988.479999999992,20831.74000000002,-1843.2600000000275,5254514.0,4183718.0,1.2559436367365104,26.73584,26.73936,0.00013164114623542833
1258,1,shadow-prelim-1258,str-e2c770b-1258,14,11,0.0077777777777777776,0.006111111111111111,0.1666666666666666,21888.750000000044,22039.96,-151.20999999995547,5404614.0,4472875.0,1.2083087499650673,27.11184,27.11536,0.0001298157206837125
1259,1,shadow-prelim-1259,str-e2c770b-1259,0,8,0.0,0.0044444444444444444,-0.4444444444444444,7986.8499999999985,17668.38999999997,-9681.539999999972,3537650.0,3616063.0,0.9783153667400153,26.86192,26.86592,0.00014888751250652366
1260,1,shadow-prelim-1260,str-e2c770b-1260,17,9,0.009444444444444445,0.005,0.4444444444444444,22463.700000000015,23287.699999999997,-823.9999999999818,5689261.0,4458493.0,1.276050225939572,26.31696,26.31968,0.00010334472151640739
