family_id,arm_id,all_generated_deadline_miss_rate__estimate,all_generated_deadline_miss_rate__ci95_low,all_generated_deadline_miss_rate__ci95_high,sender_airtime_us__estimate,sender_airtime_us__ci95_low,sender_airtime_us__ci95_high,background_throughput_mbps__estimate,background_throughput_mbps__ci95_low,background_throughput_mbps__ci95_high
radio_propagation,str_mlo_nmaxinflights_1,0.06677083333333333,0.008471788194444446,0.1380577256944444,5830317.78125,4194683.37421875,7728113.74140625,26.64395,26.411104500000004,26.874162000000002
radio_propagation,score_aware_t2_v2,0.08583333333333333,0.008175781250000002,0.17981032986111115,7116639.21875,4790063.653125,9865023.406249994,26.633235,26.405686000000003,26.861850624999995
radio_propagation,distributional_shadow_t2,0.07729166666666666,0.006683593749999999,0.16350694444444444,7341915.53125,4959485.4328125,10167761.6375,26.63312,26.405671125,26.861858124999998
obss_intensity,str_mlo_nmaxinflights_1,0.26711805555555557,0.05392317708333336,0.5154752604166665,4940451.0,4458673.80859375,5507261.3734375,46.473530100000005,34.415692198333325,58.71359173166666
obss_intensity,score_aware_t2_v2,0.2670138888888889,0.07334939236111113,0.5034396701388889,5688508.28125,5014223.9171875,6328757.541406249,46.1116083,34.376258766666666,57.93504326750001
obss_intensity,distributional_shadow_t2,0.26428819444444446,0.06974826388888891,0.5023276909722221,5818478.21875,5093342.615625001,6508486.26640625,46.154103533333334,34.39293868916667,58.01380643416666
obss_geometry_mac,str_mlo_nmaxinflights_1,0.009236111111111112,0.005659722222222222,0.013350694444444445,4213300.75,3950013.790625,4508320.239062499,26.667255,26.463723750000003,26.860837500000002
obss_geometry_mac,score_aware_t2_v2,0.008940972222222222,0.004930555555555555,0.014062934027777772,4797816.625,4399492.86484375,5200914.88828125,26.66599,26.462387124999996,26.859682874999997
obss_geometry_mac,distributional_shadow_t2,0.010208333333333333,0.0053815104166666655,0.016215277777777776,4976020.5625,4616106.53515625,5352988.0203125,26.666215,26.462494374999988,26.85997749999999
video_workload,str_mlo_nmaxinflights_1,0.011769386574074074,0.0061270254629629635,0.01900198929398148,4617575.75,3311075.1015625,6053941.8859375,26.567735,26.36354537499999,26.784145375
video_workload,score_aware_t2_v2,0.01459201388888889,0.004369068287037037,0.028232313368055543,5245692.0,3725350.77265625,6933250.9640625,26.566295,26.362194,26.783003749999995
video_workload,distributional_shadow_t2,0.014409722222222223,0.004078305844907408,0.027482928240740733,5367693.125,3875843.10859375,7010168.471093749,26.566385,26.362497000000005,26.782965
legacy_coexistence,str_mlo_nmaxinflights_1,0.1986284722222222,0.05888845486111112,0.4105915798611112,5507760.25,4803829.6765625,6384423.325781249,26.63939,26.393944625000003,26.874364000000007
legacy_coexistence,score_aware_t2_v2,0.2812673611111111,0.11859244791666666,0.4886536458333335,6385802.4375,5833207.32265625,6928420.88203125,26.482875,26.0135395,26.82810212499999
legacy_coexistence,distributional_shadow_t2,0.27642361111111113,0.11473567708333333,0.4834114583333333,6517980.09375,5948920.98046875,7067822.83828125,26.480015,26.011024874999997,26.826990874999996
compound_shift,str_mlo_nmaxinflights_1,0.4091333912037037,0.17026689091435185,0.6733982204861112,5836114.6875,4404119.1296875,7741015.335156249,40.798955,30.552917625000003,51.34479712499998
compound_shift,score_aware_t2_v2,0.4901982060185185,0.26497225839120364,0.7272524594907408,5519048.4375,4204602.77890625,6864843.0546875,40.9317,30.522693375,51.633765875
compound_shift,distributional_shadow_t2,0.48286747685185183,0.2549779730902778,0.7243440755208334,5658108.15625,4265905.74375,7076619.541406249,40.950885,30.55135837499999,51.697661999999994
