shard_index,scenario_id,seed,run,baseline_run_id,oracle_run_id,frame_count,action_frame_count,repair_packet_count,receiver_primary_drift_frames,receiver_primary_drift_packets,deadline_misses
0,compound-shift-qualification-p19,21173,1,904e8c1175beea4117fd,dd355cc1df28cba780e9,1800,610,6595,494,494,37
1,compound-shift-qualification-p19,21174,1,750ce535c39c8e1daa65,ff2d2c450154901f8809,1800,468,4854,334,334,76
0,compound-shift-qualification-p19,21175,1,fa58653d01fb638be19d,dc983cd9e42331d63b1b,1800,663,7259,571,571,11
1,compound-shift-qualification-p19,21176,1,eee12f31b8740e7e3493,fd0cb805791df573df4c,1800,427,4465,339,339,14
0,legacy-coexistence-qualification-p17,21133,1,5eb3c1f4b8611422b0ef,b2078182eabf7488d57f,1800,1224,12507,1027,1031,292
1,legacy-coexistence-qualification-p17,21134,1,8dca2d0a4c58dadb3908,2a1de5ce5a7db10bda27,1800,403,3931,296,296,89
0,legacy-coexistence-qualification-p17,21135,1,721489ba93438d850f76,ca16b8503a3ae351437e,1800,955,9777,776,785,257
1,legacy-coexistence-qualification-p17,21136,1,19f4975b10d6381d50ff,89b0d5b64fd5426279a7,1800,1031,10517,673,674,548
0,obss-intensity-qualification-p17,21037,1,01082d5f563a2ffc43e2,87c1dac62beae4d5d672,1800,860,8848,214,214,751
1,obss-intensity-qualification-p17,21038,1,a4f8f0992bdf667a45f0,616ded8cc837fb679630,1800,1433,14863,367,367,1292
0,obss-intensity-qualification-p17,21039,1,8092bb7d796f712a6558,3263e5c5b0001743c2c5,1800,1170,11965,132,132,1138
1,obss-intensity-qualification-p17,21040,1,aa77ac8fdc446cff675f,1002ecde55e05ada087d,1800,612,6105,284,284,422
0,obss-intensity-qualification-p19,21045,1,bdda6e0d6cfd01f2e64d,99babbcbf27cf66540fc,1800,543,5484,387,387,254
1,obss-intensity-qualification-p19,21046,1,b0cca6688a84f4eed8f1,f9b66d1829df0a9f1b3e,1800,1196,12316,682,682,846
0,obss-intensity-qualification-p19,21047,1,f99098b4099146c46cf0,832dcea7e26a0a4c4ad4,1800,733,7551,639,639,53
1,obss-intensity-qualification-p19,21048,1,51016ab269ac17427848,db204603d3880fb1409d,1800,418,4193,320,320,64
0,radio-propagation-qualification-p17,21005,1,97dc434f9ebd0f1927e3,47523028b03a26db3e07,1800,264,2577,184,184,7
1,radio-propagation-qualification-p17,21006,1,455b9a663e159c1cc43c,12dae7d0bf8c55d51e58,1800,767,7550,574,575,46
0,radio-propagation-qualification-p17,21007,1,c54ead6d747f05812595,13c3c30dfff9cc285155,1800,681,6594,473,473,130
1,radio-propagation-qualification-p17,21008,1,8c592b4f180b5685fe86,2ed55f096586dabc7981,1800,319,3028,191,193,15
