shard_index,scenario_id,seed,run,generated_frames,str_deadline_misses,primary_deadline_misses,repair_deadline_misses,factual_rescues,str_sender_airtime_us,primary_sender_airtime_us,repair_sender_airtime_us,equal_airtime_candidate_rescues,equal_airtime_selected_rescues,equal_airtime_spent_measured_tagged_airtime_us,equal_airtime_budget_us,equal_airtime_raw_headroom_us,engineering_1p20_candidate_rescues,engineering_1p20_selected_rescues,engineering_1p20_spent_measured_tagged_airtime_us,engineering_1p20_budget_us,engineering_1p20_raw_headroom_us
0,compound-shift-qualification-p19,21173,1,1800,207,610,37,573,5269852.0,7049261.0,8525049.0,573,0,0.0,0.0,-1779409.0,573,0,0.0,0.0,-725438.6000000006
1,compound-shift-qualification-p19,21174,1,1800,197,468,76,392,5865362.0,6606256.0,8110862.0,392,0,0.0,0.0,-740894.0,392,243,430946.5191614405,432178.39999999944,432178.39999999944
0,compound-shift-qualification-p19,21175,1,1800,136,663,11,652,4851820.0,7048685.0,8500556.0,652,0,0.0,0.0,-2196865.0,652,0,0.0,0.0,-1226501.0
1,compound-shift-qualification-p19,21176,1,1800,104,427,14,413,4697738.0,6068633.0,6968616.0,413,0,0.0,0.0,-1370895.0,413,0,0.0,0.0,-431347.4000000004
0,legacy-coexistence-qualification-p17,21133,1,1800,520,1224,292,932,6108052.0,7308528.0,11129222.0,932,0,0.0,0.0,-1200476.0,932,29,20323.085714286004,21134.39999999944,21134.39999999944
1,legacy-coexistence-qualification-p17,21134,1,1800,316,403,89,314,5337960.0,5281038.0,6543696.0,314,55,56808.50499891504,56922.0,56922.0,314,314,743748.7861178144,1124514.0,1124514.0
0,legacy-coexistence-qualification-p17,21135,1,1800,493,955,257,698,6116091.0,6903019.0,10067920.0,698,0,0.0,0.0,-786928.0,698,293,435876.7416076288,436290.2000000002,436290.2000000002
1,legacy-coexistence-qualification-p17,21136,1,1800,848,1031,548,483,7491421.0,6864302.0,11565241.0,483,311,625695.74556702,627119.0,627119.0,483,483,1438718.1754599593,2125403.1999999993,2125403.1999999993
0,obss-intensity-qualification-p17,21037,1,1800,948,860,751,109,5934880.0,5788091.0,9034539.0,109,69,143735.8735792799,146789.0,146789.0,109,109,320192.03662739997,1333765.0,1333765.0
1,obss-intensity-qualification-p17,21038,1,1800,1370,1433,1292,141,7745931.0,6926272.0,13052892.0,141,141,487567.6330602971,819659.0,819659.0,141,141,487567.6330602971,2368845.1999999993,2368845.1999999993
0,obss-intensity-qualification-p17,21039,1,1800,1335,1170,1138,32,5408570.0,4975255.0,9544385.0,32,32,121769.72055624997,433315.0,433315.0,32,32,121769.72055624997,1515029.0,1515029.0
1,obss-intensity-qualification-p17,21040,1,1800,1538,612,422,190,5157989.0,6468241.0,8502710.0,190,0,0.0,0.0,-1310252.0,190,0,0.0,0.0,-278654.2000000002
0,obss-intensity-qualification-p19,21045,1,1800,551,543,254,289,6037913.0,6204589.0,8610126.0,289,0,0.0,0.0,-166676.0,289,289,866276.4641931802,1040906.5999999996,1040906.5999999996
1,obss-intensity-qualification-p19,21046,1,1800,1084,1196,846,350,8189006.0,8280809.0,14729098.0,350,0,0.0,0.0,-91803.0,350,350,1175401.7195579598,1545998.1999999993,1545998.1999999993
0,obss-intensity-qualification-p19,21047,1,1800,183,733,53,680,4410071.0,5749520.0,7485892.0,680,0,0.0,0.0,-1339449.0,680,0,0.0,0.0,-457434.7999999998
1,obss-intensity-qualification-p19,21048,1,1800,245,418,64,354,4670846.0,5372494.0,6611879.0,354,0,0.0,0.0,-701648.0,354,157,231654.84089243942,232521.2000000002,232521.2000000002
0,radio-propagation-qualification-p17,21005,1,1800,117,264,7,257,7073012.0,9206420.0,9787714.0,257,0,0.0,0.0,-2133408.0,257,0,0.0,0.0,-718805.5999999996
1,radio-propagation-qualification-p17,21006,1,1800,546,767,46,721,12738720.0,18194054.0,20905036.0,721,0,0.0,0.0,-5455334.0,721,0,0.0,0.0,-2907590.0
0,radio-propagation-qualification-p17,21007,1,1800,503,681,130,551,11435258.0,13917080.0,17360464.0,551,0,0.0,0.0,-2481822.0,551,0,0.0,0.0,-194770.40000000037
1,radio-propagation-qualification-p17,21008,1,1800,191,319,15,305,8638316.0,11363669.0,12328583.0,305,0,0.0,0.0,-2725353.0,305,0,0.0,0.0,-997689.8000000007
