family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
obss_intensity,obss-intensity-qualification-p17,17,21037,1,01082d5f563a2ffc43e2,single_5ghz_no_redundancy,1800,940,860,0,860,0.4777777777777778,32461.81,20740.069444444445,0.0,5788091.0,5788091.0,561403200,0,0,0,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21005,1,083ee0d5579eb7a76cbe,ideal_systematic_fec_12p5_t2,1800,1544,256,0,256,0.14222222222222222,31358.119999999988,12934.620555555555,962491.0,9206420.0,10168911.0,200652000,1800,1800,3690,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21005,1,0c5eb2e05091f457a988,full_copy_t0,1800,1799,1,0,1,0.0005555555555555556,14781.13999999999,3161.123888888889,4327622.0,9206420.0,13534042.0,200641200,1800,1798,18900,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21008,1,0f9a4aca1106bf989450,full_copy_t0,1800,1782,18,0,18,0.01,22740.67000000001,5023.397777777778,6000026.0,11363669.0,17363695.0,197488800,1800,1723,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21040,1,1002ecde55e05ada087d,oracle_eventual_missing_repair_t2,1800,1378,422,0,422,0.23444444444444446,31942.29,15085.486666666666,2034469.0,6468241.0,8502710.0,470013600,612,190,6105,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21006,1,12dae7d0bf8c55d51e58,oracle_eventual_missing_repair_t2,1800,1754,46,0,46,0.025555555555555557,33003.380000000005,12954.209444444445,2710982.0,18194054.0,20905036.0,203221200,767,722,7550,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21007,1,13c3c30dfff9cc285155,oracle_eventual_missing_repair_t2,1800,1670,130,0,130,0.07222222222222222,32864.399999999994,13767.622222222222,3443384.0,13917080.0,17360464.0,196370400,681,552,6594,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21048,1,13d83c2da1a42e6ce33b,full_copy_t0,1800,1732,68,0,68,0.03777777777777778,29746.430000000004,6222.568888888889,5140072.0,5372494.0,10512566.0,388182600,1800,1493,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21046,1,1740893cf300795a037a,full_copy_t2,1800,939,861,0,861,0.47833333333333333,32570.24,22024.805,9598407.0,8280809.0,17879216.0,395931600,1800,534,18900,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21136,1,19f4975b10d6381d50ff,single_5ghz_no_redundancy,1800,769,1031,0,1031,0.5727777777777778,32890.72,24363.18611111111,0.0,6864302.0,6864302.0,207981600,0,0,0,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21008,1,1c3c747d8c58f6555127,full_copy_t2,1800,1785,15,0,15,0.008333333333333333,23641.120000000043,6352.1483333333335,5944548.0,11363669.0,17308217.0,197482800,1800,1737,18900,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21006,1,20a6f11d03d5e66b2272,full_copy_t2,1800,1758,42,0,42,0.023333333333333334,28554.050000000014,8409.671666666667,6653762.0,18194054.0,24847816.0,203214000,1800,1711,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21039,1,2312a223ae26d5efe56f,str_mlo_nmaxinflights_1,1800,465,1335,0,1335,0.7416666666666667,32382.520000000004,27993.44,1402984.0,4005586.0,5408570.0,530252400,0,0,0,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21133,1,25057ac3a9a905aef480,full_copy_t0,1800,1512,288,0,288,0.16,31631.620000000006,11691.836666666666,5634181.0,7308528.0,12942709.0,202191600,1800,1387,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21045,1,25255dc6af2d96ba02f1,ideal_systematic_fec_12p5_t2,1800,1260,540,0,540,0.3,32155.05,15790.95388888889,2495014.0,6204589.0,8699603.0,395110800,1800,1115,3690,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21037,1,27c8d01bdc43a918e459,str_mlo_nmaxinflights_1,1800,852,948,0,948,0.5266666666666666,32202.45,21824.81611111111,1654756.0,4280124.0,5934880.0,548974800,0,0,0,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21047,1,285088daaa829204b8ec,ideal_systematic_fec_12p5_t2,1800,1073,727,0,727,0.4038888888888889,31217.88,18802.779444444444,995210.0,5749520.0,6744730.0,392638200,1800,1680,3690,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21136,1,299475f7312cfbd6b8c4,ideal_systematic_fec_12p5_t2,1800,782,1018,0,1018,0.5655555555555556,32894.719999999994,24170.27666666667,2155325.0,6864302.0,9019627.0,207998400,1800,1186,3690,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,2a1de5ce5a7db10bda27,oracle_eventual_missing_repair_t2,1800,1711,89,0,89,0.049444444444444444,32462.800000000007,10492.996666666666,1262658.0,5281038.0,6543696.0,199441200,403,315,3931,wifi-exp-17-30
