scenario_id,arm_id,arm_label,run_count,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,all_generated_deadline_miss_rate,all_generated_censored_mean_us,all_generated_censored_p50_us,all_generated_censored_p90_us,all_generated_censored_p99_us,completed_frame_p99_descriptive_us,mean_per_run_completed_p99_descriptive_us,sender_airtime_mean_us,link_0_airtime_mean_us,link_1_airtime_mean_us,background_bytes_received,miss_burst_count,miss_burst_mean_frames,miss_burst_p95_frames,miss_burst_max_frames,actions,action_packets,action_completion_rate,action_censored_mean_us,action_censored_p95_us,primary_mac_queue_packets_mean,primary_mac_queue_packets_p95,secondary_mac_queue_packets_mean,secondary_mac_queue_packets_p95,primary_frame_queue_packets_mean,primary_frame_queue_packets_p95,secondary_frame_queue_packets_mean,secondary_frame_queue_packets_p95,primary_ack_deficit_packets_mean,primary_ack_deficit_packets_p95
legacy-coexistence-qualification-p17,str_mlo_nmaxinflights_1,STR MLO,4,7200,5023,2177,0,2177,0.30236111111111114,15464.605833333333,9343.5,33333.0,33333.0,31579.41999999999,31424.880000000005,6263381.0,3561772.0,2701609.0,807063600,719,3.0278164116828927,11.0,27,0,0,,,,,,,,,,,,,
legacy-coexistence-qualification-p17,single_5ghz_no_redundancy,5 GHz only,4,7200,3587,3613,0,3613,0.5018055555555555,22008.30513888889,33333.0,33333.0,33333.0,32528.26,32603.485,6589221.75,0.0,6589221.75,805723200,760,4.753947368421053,16.0,78,0,0,,,,23.745,92.0,0.0,0.0,9.406527777777777,10.0,0.0,0.0,9.406527777777777,10.0
legacy-coexistence-qualification-p17,full_copy_t0,Full copy T0,4,7200,5889,1311,0,1311,0.18208333333333335,12385.809722222222,6460.5,33333.0,33333.0,31434.919999999984,30808.645000000004,12989790.0,6400568.25,6589221.75,805536000,546,2.401098901098901,7.0,21,7200,75600,0.6433333333333333,17531.86902777778,33333.0,23.745,92.0,16.6875,62.0,9.406527777777777,10.0,8.33388888888889,10.0,9.406527777777777,10.0
legacy-coexistence-qualification-p17,full_copy_t2,Full copy T2,4,7200,5829,1371,0,1371,0.19041666666666668,13303.899027777778,7490.0,33333.0,33333.0,31809.920000000002,31182.600000000017,12999406.5,6410184.75,6589221.75,805650000,536,2.5578358208955225,8.0,17,7200,75600,0.6252777777777778,16847.12138888889,31333.0,23.745,92.0,9.659305555555555,60.0,9.406527777777777,10.0,0.0,0.0,9.406527777777777,10.0
legacy-coexistence-qualification-p17,oracle_eventual_missing_repair_t2,Deadline repair T2,4,7200,6014,1186,0,1186,0.16472222222222221,14457.66513888889,10211.0,33333.0,33333.0,32650.48,32660.68,9826519.75,3237298.0,6589221.75,805593600,507,2.339250493096647,7.0,15,3613,36732,0.6720177138112372,15500.817879878217,31333.0,23.745,92.0,3.3291666666666666,21.0,9.406527777777777,10.0,0.0,0.0,9.406527777777777,10.0
legacy-coexistence-qualification-p17,ideal_systematic_fec_12p5_t2,Ideal FEC T2,4,7200,3646,3554,0,3554,0.4936111111111111,21788.740833333333,32323.0,33333.0,33333.0,32641.40000000001,32660.104999999996,8213422.25,1624200.5,6589221.75,805736400,752,4.726063829787234,15.449999999999932,78,7200,14760,0.7856944444444445,10535.081805555556,31333.0,23.745,92.0,0.9998611111111111,6.0,9.406527777777777,10.0,0.0,0.0,9.406527777777777,10.0
compound-shift-qualification-p19,str_mlo_nmaxinflights_1,STR MLO,4,7200,6556,644,0,644,0.08944444444444444,8095.55375,3224.5,29011.800000000032,33333.0,29470.84999999998,28831.81999999998,5171193.0,2801655.25,2369537.75,682675200,384,1.6770833333333333,5.0,14,0,0,,,,,,,,,,,,,
compound-shift-qualification-p19,single_5ghz_no_redundancy,5 GHz only,4,7200,5032,2168,0,2168,0.3011111111111111,16695.165555555555,12334.5,33333.0,33333.0,32117.07,32101.017499999998,6693208.75,0.0,6693208.75,682460400,699,3.1015736766809727,10.0,28,0,0,,,,14.47875,45.0,0.0,0.0,9.406944444444445,11.0,0.0,0.0,9.406944444444445,11.0
compound-shift-qualification-p19,full_copy_t0,Full copy T0,4,7200,7045,155,0,155,0.021527777777777778,5064.163611111111,2282.0,11397.400000000001,33333.0,26191.639999999978,25020.614999999998,11542975.5,4849766.75,6693208.75,682420800,95,1.631578947368421,4.299999999999997,7,7200,81360,0.9327777777777778,7450.344166666667,33333.0,14.47875,45.0,8.158194444444444,16.0,9.406944444444445,11.0,7.351111111111111,11.0,9.406944444444445,11.0
compound-shift-qualification-p19,full_copy_t2,Full copy T2,4,7200,7037,163,0,163,0.02263888888888889,6365.694583333333,4005.5,12742.400000000005,33333.0,26674.40000000002,25885.67750000001,11447857.0,4754648.25,6693208.75,682417200,103,1.5825242718446602,4.0,9,7200,81360,0.9304166666666667,7208.382083333333,31333.0,14.47875,45.0,0.8972222222222223,2.0,9.406944444444445,11.0,0.0,0.0,9.406944444444445,11.0
