scenario_id,family_id,parameter_sample,seed,run,baseline_run_id,oracle_run_id,frame_count,primary_drift_frames,primary_drift_packets,baseline_only_primary_packets,oracle_only_primary_packets,deadline_plan_correction_frames,omitted_deadline_packets,pre_t2_snapshot_drift_frames,late_first_consistent_primary_drift_frames,other_primary_drift_frames,flawed_oracle_misses_containing_omitted_packet,current_sidecar_plan_frames,current_sidecar_plan_packets,deadline_corrected_plan_frames,deadline_corrected_plan_packets,first_primary_drift_frame_id,first_deadline_plan_correction_frame_id,first_pre_t2_snapshot_drift_frame_id,all_actions_match_baseline_sidecar,primary_link_application_bytes_sent_delta,primary_link_application_bytes_received_delta,primary_link_phy_tx_time_us_delta,primary_mac_successful_mpdus_delta,primary_mac_retransmissions_delta
compound-shift-qualification-p19,compound_shift,19,21173,1,904e8c1175beea4117fd,69533743b308f6605075,1800,490,490,490,0,500,500,47,490,0,490,610,6095,610,6595,2,2,4,True,0,0,0,0,0
compound-shift-qualification-p19,compound_shift,19,21174,1,750ce535c39c8e1daa65,39dd02a23cf65102af72,1800,347,347,347,0,361,361,79,346,1,346,468,4493,468,4854,33,11,11,True,0,0,0,0,0
compound-shift-qualification-p19,compound_shift,19,21175,1,fa58653d01fb638be19d,435b6885da78bb039373,1800,571,571,570,1,573,573,16,570,1,570,663,6686,663,7259,6,6,25,True,0,0,0,0,0
compound-shift-qualification-p19,compound_shift,19,21176,1,eee12f31b8740e7e3493,eb2b29c97024550696c4,1800,343,343,343,0,346,346,11,343,0,343,427,4119,427,4465,7,5,6,True,0,0,0,0,0
legacy-coexistence-qualification-p17,legacy_coexistence,17,21133,1,5eb3c1f4b8611422b0ef,3c2d015587c263dcf1c5,1800,1034,1036,1033,3,1092,1092,299,1032,2,1032,1224,11415,1224,12507,3,3,7,True,0,0,0,0,0
legacy-coexistence-qualification-p17,legacy_coexistence,17,21134,1,8dca2d0a4c58dadb3908,937c92281947fceef6c5,1800,291,291,291,0,320,320,153,291,0,291,403,3611,403,3931,5,5,5,True,0,0,0,0,0
legacy-coexistence-qualification-p17,legacy_coexistence,17,21135,1,721489ba93438d850f76,b06b4a8777d8d5028197,1800,768,776,767,9,845,845,321,766,2,766,955,8932,955,9777,2,2,7,True,0,0,0,0,0
legacy-coexistence-qualification-p17,legacy_coexistence,17,21136,1,19f4975b10d6381d50ff,9ee5a2c35cdd12848d74,1800,698,699,699,0,934,934,689,697,1,697,1031,9583,1031,10517,20,9,8,True,0,0,0,0,0
obss-intensity-qualification-p17,obss_intensity,17,21037,1,01082d5f563a2ffc43e2,0e2265095b560966c5f5,1800,194,194,194,0,770,770,1334,193,1,193,860,8078,860,8848,44,5,5,True,0,0,0,0,0
obss-intensity-qualification-p17,obss_intensity,17,21038,1,a4f8f0992bdf667a45f0,cf8698a3e008ddd309f2,1800,420,421,421,0,1234,1234,1547,419,1,419,1433,13629,1433,14863,3,3,4,True,0,0,0,0,0
obss-intensity-qualification-p17,obss_intensity,17,21039,1,8092bb7d796f712a6558,b21bde11294991a489ae,1800,276,276,276,0,1008,1008,1582,276,0,276,1170,10957,1170,11965,103,4,5,True,0,0,0,0,0
obss-intensity-qualification-p17,obss_intensity,17,21040,1,aa77ac8fdc446cff675f,5c7ec6785c5a6b89cd11,1800,286,286,286,0,466,466,621,286,0,286,612,5639,612,6105,14,14,4,True,0,0,0,0,0
obss-intensity-qualification-p19,obss_intensity,19,21045,1,bdda6e0d6cfd01f2e64d,86957cae82d3adef7746,1800,359,359,358,1,476,476,398,358,1,358,543,5008,543,5484,3,3,4,True,0,0,0,0,0
obss-intensity-qualification-p19,obss_intensity,19,21046,1,b0cca6688a84f4eed8f1,4f25d2579ecf25dbc501,1800,738,738,737,1,1080,1080,1019,737,1,737,1196,11236,1196,12316,1,1,4,True,0,0,0,0,0
obss-intensity-qualification-p19,obss_intensity,19,21047,1,f99098b4099146c46cf0,5c57994956a18b0a83ae,1800,625,625,625,0,650,650,86,625,0,625,733,6901,733,7551,1,1,44,True,0,0,0,0,0
obss-intensity-qualification-p19,obss_intensity,19,21048,1,51016ab269ac17427848,6651ce5824da567a3f2c,1800,322,323,321,2,346,346,86,320,2,320,418,3847,418,4193,8,8,57,True,0,0,0,0,0
radio-propagation-qualification-p17,radio_propagation,17,21005,1,97dc434f9ebd0f1927e3,b4260815dbce8deb7c0a,1800,184,184,184,0,183,183,2,183,1,183,264,2394,264,2577,2,2,4,True,0,0,0,0,0
radio-propagation-qualification-p17,radio_propagation,17,21006,1,455b9a663e159c1cc43c,5f541dbba3fa43444ee1,1800,580,582,580,2,577,577,43,576,4,576,767,6973,767,7550,2,2,6,True,0,0,0,0,0
radio-propagation-qualification-p17,radio_propagation,17,21007,1,c54ead6d747f05812595,63941501611c1a520ef4,1800,479,479,479,0,503,503,165,476,3,476,681,6091,681,6594,7,2,3,True,0,0,0,0,0
radio-propagation-qualification-p17,radio_propagation,17,21008,1,8c592b4f180b5685fe86,0c73b2075f627cb07eb3,1800,190,191,190,1,192,192,22,188,2,188,319,2836,319,3028,25,8,8,True,0,0,0,0,0
